Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed,PlantA_E_solar,PlantB_E_solar,PlantA_E_biogas,PlantB_E_biogas
2023-07-08,5.4401,7.3567,29.21,89.37,3.42,8.022733074,40.11366537,12.217227000648215,47.97861867928369
2023-07-09,5.406,7.1974,29.26,87.42,2.65,7.97082264,39.85411319999999,11.78314555500623,48.6025135518582
2023-07-10,4.8902,7.0601,29.59,87.24,2.79,7.200623891999999,36.00311946,11.938100859647868,47.9282446986923
2023-07-11,4.9946,7.0642,29.17,85.7,4.04,7.366935108,36.83467554,12.043293921790365,45.96740699636969
2023-07-12,5.2848,7.158,28.26,87.99,3.37,7.823829311999999,39.11914656,12.006668060890725,48.08821211192475
2023-07-13,5.2466,7.0022,28.41,91.41,2.68,7.762554563999999,38.81277282,11.993025322253207,47.72083618626964
2023-07-14,5.2349,7.0589,28.5,89.51,2.43,7.742417099999999,38.7120855,12.86049047908716,47.90874836931306
2023-07-15,4.5283,7.3418,29.08,85.41,2.38,6.681597215999999,33.40798608,12.368935400781552,51.38321896299932
2023-07-16,4.7995,7.2341,28.91,87.99,3.77,7.08665373,35.43326865,12.883385646180221,50.840710236295244
2023-07-17,5.0623,7.175,28.81,88.93,4.48,7.477725821999999,37.38862911,11.504887233702524,50.24000780834791
2023-07-18,6.5791,7.351,28.82,88.05,4.83,9.717857028000001,48.58928514,12.99675388781215,46.972582663275176
2023-07-19,5.784,7.2761,29.25,86.78,4.71,8.528508,42.64254,13.379383791622327,45.92349340146597
2023-07-20,6.3086,7.2026,28.98,88.8,4.25,9.312250632000001,46.56125315999999,11.119963073878788,50.02428484222281
2023-07-21,5.5164,7.3262,28.84,89.91,3.72,8.147502143999999,40.73751072,11.727547046854829,49.21167983803651
2023-07-22,5.7955,7.3716,28.96,88.66,4.29,8.55554892,42.777744600000005,11.59203847543267,44.974231367532845
2023-07-23,5.9042,7.2761,28.92,88.37,2.76,8.717433216,43.58716608,12.824731201074746,46.80869638622262
2023-07-24,6.3086,7.3262,29.35,84.83,2.98,9.298245540000002,46.491227699999996,11.902712270980619,47.12632263663323
2023-07-25,5.8313,7.3447,29.22,86.15,3.72,8.599301484,42.99650742,11.822262558217867,47.43950266692337
2023-07-26,4.9356,7.2804,28.97,88.25,4.13,7.285834007999999,36.42917004,12.080541011553166,46.7105050375994
2023-07-27,4.8816,7.1832,29.3,86.76,4.12,7.19645472,35.98227359999999,12.723721283379417,47.61166470358346
2023-07-28,5.5469,7.0704,29.34,86.87,3.96,8.175908724,40.87954362,12.15560409278337,50.97533145779677
2023-07-29,4.5739,7.087,29.75,86.64,3.53,6.73049385,33.65246925,13.071062536009292,50.91588417813457
2023-07-30,5.6095,7.2295,30.08,86.02,2.45,8.243272439999998,41.2163622,12.887737057441853,48.12883606321226
2023-07-31,5.5385,7.1534,31.03,78.62,0.93,8.10736707,40.53683535,11.895264964998047,49.42941192496297
2023-08-01,5.6839,7.3241,30.1,86.48,3.46,8.35192266,41.759613300000005,12.157674372820226,49.85626423942043
2023-08-02,4.117,7.033,28.75,89.82,7.37,6.0828675,30.414337500000002,12.440132358744771,48.49309742401464
2023-08-03,3.9,6.5935,28.93,88.13,4.34,5.758038,28.790190000000003,11.749146871240402,50.31982858866067
2023-08-04,3.2911,6.4363,28.71,87.46,4.06,4.863390114,24.316950570000003,13.177552209967942,48.42137422960304
2023-08-05,3.3415,6.6178,28.42,87.58,4.06,4.94368242,24.718412100000002,11.73170853788672,48.12980349297691
2023-08-06,1.7892,6.7814,28.02,91.17,4.82,2.651379696,13.25689848,12.931832820220775,49.32934937695196
2023-08-07,1.5098,7.0488,28.02,91.84,5.35,2.237342424,11.186712120000001,12.17314273746825,47.83162272086682
2023-08-08,2.4134,6.6696,28.09,89.71,4.69,3.575355564,17.87677782,12.879902616702095,47.60529826406539
2023-08-09,4.6678,6.1898,27.84,91.33,3.05,6.922160687999999,34.61080344,12.026000022882753,47.272111713290094
