Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed
2024-02-24,4.4803,5.0609,22.39,71.07,2.27
2024-02-25,2.9537,4.5514,21.31,63.84,3.22
2024-02-26,5.2553,5.2591,21.2,63.2,2.87
2024-02-27,4.6901,5.1653,22.63,58.66,2.5
2024-02-28,4.662,4.7143,23.78,58.24,2.3
2024-02-29,5.2915,5.2975,23.63,55.64,2.12
2024-03-01,5.7559,5.7602,22.88,52.12,2.3
2024-03-02,5.6489,5.6556,23.54,49.97,1.9
2024-03-03,4.8504,4.9951,24.59,53.34,2.13
2024-03-04,3.5642,5.0035,24.71,56.83,1.94
2024-03-05,5.7617,5.772,24.84,63.51,2.97
2024-03-06,6.2894,6.305,23.8,41.3,2.62
2024-03-07,4.7866,6.0732,23.89,42.21,2.32
2024-03-08,6.1058,6.1133,24.18,44.79,2.39
2024-03-09,6.5088,6.522,23.21,42.25,2.95
2024-03-10,6.4589,6.4675,22.76,39.2,2.39
2024-03-11,6.2316,6.2462,24.11,36.37,1.96
2024-03-12,5.3292,5.5649,26.08,45.58,2.5
2024-03-13,5.4053,5.5567,27.4,63.23,2.54
2024-03-14,3.3571,4.837,27.83,69.53,2.18
2024-03-15,5.2507,5.3266,28.14,64.47,1.62
2024-03-16,5.0659,5.3323,28.09,66.23,1.72
2024-03-17,5.2226,5.5015,28.12,61.95,2.03
2024-03-18,3.1565,4.8866,28.29,57.94,1.09
2024-03-19,3.8309,4.9572,27.68,59.98,2.08
2024-03-20,1.4323,5.1768,23.9,73.44,1.62
2024-03-21,4.8458,5.8541,24.24,68.3,1.27
2024-03-22,5.2483,5.8368,24.52,61.5,1.69
2024-03-23,5.8106,5.8337,26.43,56.68,2.19
2024-03-24,4.8374,5.7564,28.01,64.47,2.98
2024-03-25,4.4052,5.2774,28.06,63.19,2.17
2024-03-26,5.7974,5.9083,28.57,64.66,2.45
2024-03-27,4.1882,5.7701,28.91,62.61,1.73
2024-03-28,4.4479,5.5682,28.63,58.92,2.03
2024-03-29,3.5609,5.0071,29.35,64.17,2.02
2024-03-30,4.0212,4.8194,30.41,66.51,2.64
2024-03-31,5.8241,6.0178,30.85,64.7,3.36
2024-04-01,6.4474,6.5136,30.95,57.99,3.21
2024-04-02,6.5599,6.6559,30.99,55.41,2.34
2024-04-03,6.6067,6.7169,30.86,53.14,2.9
2024-04-04,6.1668,6.2419,31.74,58.89,3.4
2024-04-05,4.5262,5.2615,32.29,56.68,2.75
2024-04-06,6.1982,6.306,32.87,53.32,2.56
2024-04-07,2.6534,5.5025,32.48,55.84,2.64
2024-04-08,2.1175,5.5807,31.47,41.09,4.01
2024-04-09,5.2073,6.275,31.35,38.44,2.21
2024-04-10,3.7841,5.923,30.64,38.71,2.17
2024-04-11,3.4834,5.5502,31.13,38.84,1.71
2024-04-12,5.6311,6.1001,31.8,36.27,1.73
2024-04-13,5.8438,6.138,31.68,38.7,1.71
2024-04-14,5.6489,5.9078,32.79,36.7,1.63
2024-04-15,5.3789,5.4204,33.43,39.62,1.99
2024-04-16,5.2714,5.6273,34.16,44.48,3.22
2024-04-17,5.3422,6.2158,34.22,50.16,3.45
2024-04-18,6.114,6.5652,33.97,46.23,2.39
2024-04-19,6.893,6.9127,34.1,47.26,4.65
2024-04-20,7.2667,7.2713,35.31,43.91,5.05
2024-04-21,6.883,6.9696,35.23,47.32,3.56
2024-04-22,6.031,6.8878,35.48,39.62,2.84
2024-04-23,5.8882,6.3377,34.64,30.81,2.89
